id,latitude,longitude,class
326,33964.5508,-87501.9584,customer
327,32899.8485,-85401.0593,customer
328,33812.3215,-86364.4257,customer
329,33820.377,-86385.2599,customer
330,33763.1553,-86403.0378,customer
331,33874.8208,-86299.424,customer
332,33650.102,-86453.3162,customer
333,33334.0004,-86077.1923,customer
334,34257.3235,-87320.0172,customer
335,33391.5082,-88233.3664,customer
336,33489.8296,-86994.7163,customer
337,33098.1774,-87703.3432,customer
338,33684.2683,-86588.8758,customer
339,31968.2054,-88287.5207,customer
340,32159.0354,-87963.9026,customer
341,31835.989,-85993.563,customer
342,33148.173,-86775.8204,customer
343,33974.8233,-86873.6109,customer
344,32944.8461,-87246.3871,customer
345,33797.2222,-87204.4444,customer
346,30749.028,-88237.86,customer
347,31264.943,-86475.0712,customer
348,30871.5879,-88021.6064,customer
349,30382.3372,-87627.7159,customer
350,30397.6635,-87459.053,customer
351,30513.7895,-87752.1609,customer
352,34144.72,-87313.89,customer
353,33689.5629,-94285.7555,customer
354,36364.792,-93567.9667,customer
355,34534.2609,-92101.2554,customer
356,34928.4222,-92261.2616,customer
357,34636.7595,-92475.4354,customer
358,34894.2616,-90640.3849,customer
359,36183.4052,-92850.7249,customer
360,33383.7368,-93909.628,customer
361,34054.8197,-92959.6146,customer
362,34362.8743,-91924.8596,customer
363,36244.7856,-90353.4356,customer
364,34114.5405,-92940.4482,customer
365,34167.5988,-91595.6816,customer
366,34881.7561,-92688.2199,customer
367,35768.41,-91570.4147,customer
368,35678.1337,-91027.6216,customer
369,36466.4493,-90657.8929,customer
370,36024.2433,-93364.6264,customer
371,36332.0197,-94118.5366,customer
372,35008.7019,-91434.8518,customer
373,34648.7059,-91582.0749,customer
374,34972.3101,-91928.4754,customer
375,35542.0227,-91967.3696,customer
376,34952.3104,-92155.1479,customer
377,35148.1446,-91240.9591,customer
378,34100.0994,-92275.1491,customer
379,34682.5921,-92585.1613,customer
380,35081.755,-91602.0779,customer
381,33969.2744,-93494.3464,customer
382,35930.0731,-91058.734,customer
383,33520.9563,-93923.797,customer
384,35390.0894,-94206.0418,customer
385,36160.6288,-93341.0157,customer
386,33852.6116,-93539.0668,customer
387,34092.8772,-92408.4868,customer
388,33963.157,-91707.0735,customer
389,36188.6838,-93456.297,customer
390,34662.3145,-92067.3654,customer
391,33498.1778,-93777.1262,customer
392,35578.4135,-91162.6249,customer
393,33294.2935,-93604.8992,customer
394,35315.0807,-92701.83,customer
395,33227.3519,-92957.3853,customer
396,36410.6226,-92662.9438,customer
397,33638.7265,-93314.3366,customer
398,33997.3231,-92387.0967,customer
399,35719.2432,-92179.0417,customer
400,34080.3805,-91188.4487,customer
401,33746.2165,-91997.916,customer
402,33178.7431,-92901.5508,customer
403,33970.3912,-93882.9636,customer
404,33872.0476,-92937.1111,customer
405,33638.1673,-92797.6622,customer
406,33940.6595,-91218.7264,customer
407,33574.839,-93217.1124,customer
408,35895.0801,-94039.6447,customer
409,35541.469,-91495.9667,customer
410,35535.6372,-90160.0935,customer
411,36297.5697,-93183.2345,customer
412,35248.9731,-93109.0627,customer
413,33135.9646,-93909.9027,customer
414,34044.2675,-93279.341,customer
415,35146.7571,-90125.9263,customer
416,35485.9154,-90913.4507,customer
417,35611.7465,-89938.6977,customer
418,36105.0722,-92629.6083,customer
419,36262.5706,-93321.8492,customer
420,36149.7914,-91510.9716,customer
421,33702.3315,-93020.4437,customer
422,33684.008,-94243.5318,customer
423,34435.1068,-94411.325,customer
424,35244.2546,-90455.6579,customer
425,33262.3502,-93018.2198,customer
426,35755.3543,-91030.1221,customer
427,35682.856,-90512.0509,customer
428,36020.6334,-93859.9172,customer
429,36040.0712,-91216.2399,customer
430,35193.1444,-90899.5607,customer
431,35562.0249,-91225.9599,customer
432,33283.7288,-91260.6685,customer
433,35178.7003,-90803.4467,customer
434,36185.8983,-90285.378,customer
435,35227.5838,-92152.9269,customer
436,35777.0205,-90815.6712,customer
437,35545.9145,-90045.6455,customer
438,33702.3338,-93179.3336,customer
439,34122.5994,-91559.0139,customer
440,35543.1369,-90502.8829,customer
441,35404.8055,-93310.7348,customer
442,36157.8468,-91131.7933,customer
443,35512.8592,-91274.572,customer
444,33052.6231,-91289.5572,customer
445,35197.3178,-94439.1059,customer
446,35360.0837,-91484.5762,customer
447,34107.3278,-90963.7199,customer
448,34536.7608,-92265.428,customer
449,34250.0976,-92066.809,customer
450,35990.9052,-91016.5104,customer
451,35814.5195,-90060.9243,customer
452,33176.5201,-93300.169,customer
453,36187.0095,-90383.1586,customer
454,35270.0874,-90602.0516,customer
455,33350.1241,-93025.1647,customer
456,35981.4601,-90023.7013,customer
457,34335.9372,-90779.5518,customer
458,33306.5107,-92350.4217,customer
459,36113.4024,-90893.7296,customer
460,33556.228,-93167.1119,customer
461,33198.4626,-92560.4289,customer
462,33249.2947,-92631.8214,customer
463,36456.1777,-93436.5744,customer
464,34474.2615,-92253.2054,customer
465,33147.6289,-92430.9789,customer
466,35823.9644,-91587.9156,customer
467,33251.5085,-92072.9131,customer
468,35345.3636,-90719.5558,customer
469,34286.7635,-92280.7058,customer
470,36332.8466,-93201.0128,customer
471,34261.2149,-90932.0542,customer
472,34897.3182,-90446.7677,customer
473,35423.6993,-94104.0941,customer
474,35625.0794,-89992.0326,customer
475,36355.0653,-91638.7543,customer
476,33751.7855,-93902.6867,customer
477,36222.8445,-90854.0066,customer
478,36166.18,-91144.2938,customer
479,33324.5697,-93048.2205,customer
480,33190.6869,-93020.7191,customer
481,35522.5813,-91116.5122,customer
482,34686.4815,-92242.3711,customer
483,35162.8667,-91167.346,customer
484,35376.196,-90507.3266,customer
485,34821.7571,-92162.0913,customer
486,36396.7317,-91982.6515,customer
487,34675.0927,-92304.0401,customer
488,33021.2466,-93466.0062,customer
489,36320.3436,-91863.2042,customer
490,35511.4712,-90268.4302,customer
491,36234.5114,-91815.425,customer
492,34837.3178,-90796.5012,customer
493,35648.1371,-93420.4601,customer
494,34704.8171,-91481.7961,customer
495,34841.4847,-90996.5076,customer
496,33147.6335,-92835.4386,customer
497,34847.5918,-91603.4658,customer
498,33046.5244,-93341.8366,customer
499,33550.9431,-91987.6354,customer
500,33814.5485,-92222.6455,customer
501,35038.4201,-92095.9804,customer
502,34920.0884,-91975.1428,customer
503,33543.1753,-93553.7885,customer
504,35163.9783,-90847.059,customer
505,35974.7931,-90212.5968,customer
506,35195.9176,-92961.8369,customer
507,33372.338,-91682.0707,customer
508,33995.3904,-93865.463,customer
509,35062.5857,-92534.6039,customer
510,33260.6835,-93825.7357,customer
511,34593.1611,-94314.3803,customer
512,34600.0943,-93520.7466,customer
513,35303.6972,-93464.074,customer
514,35844.7969,-90900.6738,customer
515,36102.2909,-90745.9472,customer
516,34115.6514,-93028.5059,customer
517,36146.4663,-94059.9231,customer
518,34635.377,-90785.6678,customer
519,36131.4579,-91866.5368,customer
520,34271.7595,-93126.5651,customer
521,34836.7674,-94191.0441,customer
522,35683.1337,-90262.5975,customer
523,34922.5957,-90395.9329,customer
524,35797.5762,-91665.4176,customer
525,34710.0923,-92411.5441,customer
526,34789.8134,-92381.8209,customer
527,35397.3014,-92463.4906,customer
528,36163.6808,-92284.323,customer
529,35555.3555,-92118.7621,customer
530,35950.0779,-93357.9592,customer
531,36332.0084,-90759.8383,customer
532,35115.644,-93280.7357,customer
533,35635.36,-93820.4728,customer
534,34790.1017,-94220.2121,customer
535,36245.6242,-92428.4932,customer
536,34463.7013,-93263.7979,customer
537,34377.872,-93399.0744,customer
538,34940.9232,-93015.1744,customer
539,35816.746,-93693.8015,customer
540,35957.5734,-92218.4879,customer
541,34251.4992,-94112.9771,customer
542,35186.7548,-93452.9636,customer
543,35160.3666,-93470.1868,customer
544,34701.2029,-93061.5688,customer
545,35027.5972,-94231.0436,customer
546,35069.8179,-94115.4854,customer
547,34586.2171,-94239.6554,customer
548,35921.4662,-93060.174,customer
549,35889.519,-92251.8217,customer
550,35866.4707,-94291.8761,customer
551,34428.7024,-93289.9078,customer
552,34889.2604,-93537.9698,customer
553,35122.0331,-93343.238,customer
554,35298.9738,-93286.8455,customer
555,35361.1968,-93535.743,customer
556,34870.6482,-93322.1299,customer
557,34866.7664,-94070.4851,customer
558,35925.3558,-93603.7993,customer
559,36079.5244,-94252.4294,customer
560,34790.6503,-93486.3021,customer
561,36301.7447,-94367.7114,customer
562,36183.4132,-94447.1591,customer
563,36316.7404,-93930.198,customer
564,35477.8653,-94221.8752,customer
565,33387.6251,-93832.1262,customer
566,34223.7096,-91521.2352,customer
567,33938.7269,-94174.9202,customer
568,35852.0185,-90140.9272,customer
569,35928.687,-92812.1119,customer
570,34832.8716,-91380.6839,customer
571,35134.2562,-91176.513,customer
572,36119.5143,-92135.9867,customer
573,35929.2435,-92979.3388,customer
574,35780.3528,-91958.2034,customer
575,36481.4601,-93909.0875,customer
576,33531.5005,-91565.4022,customer
577,33229.5639,-91924.8539,customer
578,33778.1697,-93562.677,customer
579,34208.7122,-91246.7849,customer
580,36109.7964,-93134.8986,customer
581,36453.6834,-94015.7571,customer
582,35795.3609,-94496.8843,customer
583,36175.0679,-90895.9522,customer
584,33471.2295,-92777.9394,customer
585,34169.2789,-94316.3178,customer
586,33446.5032,-92219.0309,customer
587,35190.3732,-94411.0494,customer
588,35635.0793,-90492.0499,customer
589,35895.9073,-91556.5264,customer
590,34503.7004,-93055.1795,customer
591,34873.1486,-91409.0178,customer
592,35270.085,-91639.8575,customer
593,35914.2399,-91825.1453,customer
594,35952.2944,-90825.116,customer
595,36150.902,-90956.5096,customer
596,35673.9715,-94073.5356,customer
597,35743.9661,-92334.3232,customer
598,35325.0801,-92482.3798,customer
599,36059.5148,-91908.4819,customer
600,34795.0966,-90991.2295,customer
601,35868.4075,-92117.6521,customer
602,35221.4738,-93113.7853,customer
603,36169.2343,-90814.2829,customer
604,33294.8399,-91890.1313,customer
605,33121.5116,-91545.6761,customer
606,36187.2982,-93994.0879,customer
607,35337.3088,-93614.0793,customer
608,35334.5304,-93517.9647,customer
609,33645.9543,-93958.2434,customer
610,34037.043,-93085.4497,customer
611,35527.8646,-94270.7653,customer
612,35448.6925,-93046.5615,customer
613,34060.9387,-91023.1657,customer
614,33942.8794,-91843.4668,customer
615,35981.1927,-94491.6067,customer
616,35317.3081,-91014.0088,customer
617,35648.6898,-91027.6215,customer
618,33665.3859,-92288.758,customer
619,33029.5829,-93071.2743,customer
620,35146.4797,-90184.5388,customer
621,34635.9259,-92029.5863,customer
622,35202.0269,-92455.9902,customer
623,36429.2315,-92054.8753,customer
624,33631.2194,-91848.7434,customer
625,35373.1432,-93851.3093,customer
626,35860.0807,-94107.1471,customer
627,35776.4648,-91859.5894,customer
628,35813.6868,-91535.6919,customer
629,35032.3143,-90576.4939,customer
630,34935.0935,-90817.6129,customer
631,35074.5353,-90816.7799,customer
632,34949.2613,-90471.4905,customer
633,34929.261,-90589.8275,customer
634,34746.4809,-92289.5948,customer
635,33032.8285,-112073.1983,customer
636,33136.4413,-111873.1933,customer
637,35024.1874,-110680.1343,customer
638,33983.3663,-112360.4449,customer
639,34044.7693,-110485.3908,customer
640,35652.235,-109679.2759,customer
641,32028.1367,-110038.6795,customer
642,33037.0042,-109965.3612,customer
643,35745.8313,-111473.479,customer
644,31438.4325,-110097.8554,customer
645,36897.2075,-112742.4264,customer
646,35501.962,-109528.1609,customer
647,33458.9343,-111813.4739,customer
648,32436.738,-111225.3822,customer
649,35896.3986,-109448.7147,customer
650,33531.1541,-111942.6452,customer
651,35405.2998,-109280.0974,customer
652,32917.0064,-111514.8453,customer
653,35644.7402,-109095.6492,customer
654,32869.5085,-109542.8536,customer
655,32115.0713,-112035.6865,customer
656,36236.9266,-112689.0791,customer
657,35825.5641,-109812.3348,customer
658,32347.2848,-112326.8065,customer
659,35419.4639,-109496.4948,customer
660,35831.1225,-109434.5471,customer
661,31717.8594,-112201.2411,customer
662,34935.859,-110042.6187,customer
663,35460.2779,-112722.9576,customer
664,32966.4337,-112598.2151,customer
665,34745.0067,-114487.4615,customer
666,35216.4137,-109334.2673,customer
667,34188.6271,-114224.6714,customer
668,33087.2665,-112666.8312,customer
669,33526.9975,-110179.5409,customer
670,32093.4127,-110764.8065,customer
671,32743.1257,-109138.3973,customer
672,35396.9385,-114259.6796,customer
673,36078.3336,-110439.0231,customer
674,33723.0865,-113702.4321,customer
675,31802.582,-111696.504,customer
676,32038.4057,-112081.2408,customer
677,35937.2245,-110670.9714,customer
678,33803.917,-113838.826,customer
679,33210.8909,-110300.0928,customer
680,33050.5948,-114644.122,customer
681,33104.2115,-113139.0708,customer
682,34247.5163,-113964.9412,customer
683,32576.1802,-111325.6659,customer
684,33070.057,-111668.4638,customer
685,33175.8862,-111799.3025,customer
686,32295.6279,-111537.6144,customer
687,32155.0673,-112368.7495,customer
688,31990.0721,-112343.747,customer
689,36850.0006,-109425.6636,customer
690,31705.638,-112030.9578,customer
691,31957.3056,-110342.0184,customer
692,34471.9677,-112890.462,customer
693,33564.2089,-111974.3131,customer
694,33376.1563,-112102.0928,customer
695,33393.6567,-112009.8679,customer
696,33541.1521,-112199.3204,customer
697,33639.2076,-111979.0359,customer
698,33615.0406,-112062.9276,customer
699,33211.1623,-111875.4166,customer
700,33571.9863,-111997.925,customer
701,31913.6888,-111799.2876,customer
702,35528.3267,-113231.3159,customer
703,36812.7794,-109890.117,customer
704,36237.7818,-109128.71,customer
705,33714.7708,-110978.4501,customer
706,36726.0944,-113341.8953,customer
707,34980.58,-110058.1752,customer
708,33177.2712,-112080.7005,customer
709,35195.5668,-111304.0386,customer
710,34070.8665,-112150.7149,customer
711,33822.2611,-111918.203,customer
712,34757.5227,-112453.7809,customer
713,34717.7989,-111921.5438,customer
714,34361.9734,-111978.4874,customer
715,35198.0671,-111651.2725,customer
716,33674.4926,-111150.1233,customer
717,32042.5806,-110546.745,customer
718,33412.5545,-110883.4459,customer
719,34154.488,-109973.4405,customer
720,34631.6907,-111260.9728,customer
721,33078.6735,-109365.3514,customer
722,31434.2608,-111253.7064,customer
723,34901.6864,-112191.2765,customer
724,31609.8103,-111497.0486,customer
725,33667.5484,-111134.2893,customer
726,33756.7174,-110512.884,customer
727,34148.3742,-111032.3495,customer
728,33854.7732,-109314.2492,customer
729,34455.859,-112378.2221,customer
730,34670.0217,-112863.239,customer
731,33421.4361,-111710.6927,customer
732,32299.7972,-110953.4272,customer
733,34628.3634,-110796.5191,customer
734,34568.0801,-111847.0955,customer
735,33991.7171,-109145.3578,customer
736,34355.3177,-109995.9446,customer
737,34366.975,-111358.749,customer
738,33850.5995,-111306.2422,customer
739,35227.2333,-112572.9566,customer
740,36924.1682,-109603.7227,customer
741,31950.6389,-110452.5757,customer
742,35751.3983,-109847.8915,customer
743,34911.9475,-114606.6314,customer
744,33799.4828,-111978.7599,customer
745,33191.1,-111528,customer
746,32220.0231,-111030.693,customer
747,32324.3989,-110981.6951,customer
748,32711.0136,-114654.58,customer
749,31708.711,-110350.209,customer
750,39582.6609,-122045.8116,customer
751,38707.6812,-122048.0266,customer
752,37904.9252,-121147.442,customer
753,40652.0897,-122944.7474,customer
754,40965.6826,-124035.6196,customer
755,37108.2804,-121986.6265,customer
756,38368.2444,-121517.4543,customer
757,36936.6187,-121864.6774,customer
758,38659.354,-122871.6615,customer
759,37532.9919,-121920.2363,customer
760,36999.6702,-121526.3287,customer
761,40335.435,-121914.9899,customer
762,40595.1289,-124279.7788,customer
763,38888.2322,-122237.4749,customer
764,38979.6179,-121375.5114,customer
765,37519.1028,-120437.4151,customer
766,38910.7301,-121525.237,customer
767,40321.8069,-123921.7063,customer
768,35237.7397,-119003.1582,customer
769,33835.5721,-118176.7353,customer
770,34471.3877,-117171.7086,customer
771,35891.6196,-119047.324,customer
772,34888.5904,-120314.88,customer
773,34178.3378,-116308.0667,customer
774,36065.7859,-119107.0493,customer
775,35936.6136,-117906.7408,customer
776,35303.8485,-118457.8633,customer
777,33465.863,-116098.8922,customer
778,34156.6737,-116496.1263,customer
779,34719.4291,-118005.6247,customer
780,35655.2465,-120375.4325,customer
781,34266.9466,-118302.3,customer
782,33953.6255,-118163.6812,customer
783,33315.312,-115603.3227,customer
784,37599.9369,-119001.2424,customer
785,38429.0771,-122248.0299,customer
